Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
50, 6.658544, 9.517087, 10.958680, 3.809190, -0.525964, -0.509681, 5.004345, 
50, 6.714251, 9.336409, 11.147751, 3.781424, -0.555310, -0.586908, 5.018914, 
50, 6.772304, 9.158017, 11.335351, 3.751999, -0.588510, -0.664012, 5.035445, 
50, 6.832969, 8.982150, 11.521387, 3.720727, -0.625442, -0.738628, 5.054060, 
50, 6.896515, 8.809075, 11.705759, 3.687437, -0.665796, -0.807079, 5.074893, 
50, 6.963206, 8.639090, 11.888359, 3.651987, -0.708993, -0.863937, 5.098088, 
50, 7.033299, 8.472523, 12.069073, 3.614284, -0.754071, -0.901561, 5.123796, 
50, 7.107042, 8.309732, 12.247788, 3.574306, -0.799552, -0.909619, 5.152168, 
50, 7.184669, 8.151100, 12.424395, 3.532142, -0.843289, -0.874742, 5.183349, 
50, 7.266398, 7.997034, 12.598796, 3.488026, -0.882320, -0.780623, 5.217469, 
50, 7.352423, 7.847954, 12.770916, 3.442388, -0.912756, -0.608733, 5.254630, 
50, 7.442912, 7.704281, 12.940711, 3.395899, -0.929773, -0.340333, 5.294888, 
50, 7.538010, 7.566424, 13.108186, 3.349511, -0.927773, 0.039996, 5.338236, 
50, 7.637833, 7.434765, 13.273410, 3.304469, -0.900829, 0.538887, 5.384585, 
50, 7.742478, 7.309641, 13.436525, 3.262297, -0.843453, 1.147523, 5.433744, 
50, 7.852022, 7.191332, 13.597760, 3.224712, -0.751695, 1.835152, 5.485406, 
50, 7.966531, 7.080051, 13.757435, 3.193492, -0.624402, 2.545857, 5.539147, 
50, 8.086065, 6.975944, 13.915949, 3.170276, -0.464311, 3.201835, 5.594435, 
50, 8.210672, 6.879096, 14.073766, 3.156349, -0.278541, 3.715401, 5.650651, 
50, 8.340380, 6.789538, 14.231388, 3.152443, -0.078125, 4.008314, 5.707127, 
50, 8.475189, 6.707266, 14.389319, 3.158618, 0.123506, 4.032622, 5.763191, 
50, 8.615051, 6.632244, 14.548032, 3.174255, 0.312744, 3.784746, 5.818214, 
50, 8.759860, 6.564413, 14.707940, 3.198159, 0.478066, 3.306451, 5.871645, 
50, 8.909442, 6.503692, 14.869377, 3.228743, 0.611680, 2.672283, 5.923038, 
50, 9.063561, 6.449975, 15.032589, 3.264250, 0.710142, 1.969230, 5.972067, 
50, 9.221925, 6.403126, 15.197737, 3.302949, 0.773983, 1.276831, 6.018517, 
50, 9.384197, 6.362982, 15.364901, 3.343284, 0.806690, 0.654141, 6.062280, 
